pair_index,image1,image2,t_gt_sq_magnitude,r_gt_magnitude,skipping_frame,inliers,match_coverage,method,rotation_error,translation_error
168,rgb/1305031950.837135.png,rgb/1305031951.168908.png,0.012052,14.6169,10,23,0.21875,FNS,3.27099,85.4362
169,rgb/1305031951.004836.png,rgb/1305031951.336937.png,0.0180363,16.8391,10,41,0.28125,FNS,179.085,72.2138
170,rgb/1305031951.168908.png,rgb/1305031951.504916.png,0.0293836,17.602,10,28,0.1875,FNS,9.23659,99.0991
171,rgb/1305031951.336937.png,rgb/1305031951.668929.png,0.03456,10.7162,10,25,0.25,FNS,2.60084,23.8883
172,rgb/1305031951.504916.png,rgb/1305031951.836932.png,0.0369578,11.7602,10,43,0.265625,FNS,13.202,84.9279
173,rgb/1305031951.668929.png,rgb/1305031952.004839.png,0.038361,11.0431,10,26,0.1875,FNS,2.91306,5.8873
174,rgb/1305031951.836932.png,rgb/1305031952.168932.png,0.0271953,5.80085,10,38,0.296875,FNS,2.36026,8.348
175,rgb/1305031952.004839.png,rgb/1305031952.336993.png,0.0176283,16.5194,10,104,0.375,FNS,2.96916,23.2905
176,rgb/1305031952.168932.png,rgb/1305031952.504868.png,0.0171351,9.89881,10,68,0.296875,FNS,16.604,99.6987
177,rgb/1305031952.336993.png,rgb/1305031952.668899.png,0.0128694,4.59669,10,113,0.421875,FNS,0.789622,1.38329
178,rgb/1305031952.504868.png,rgb/1305031952.836931.png,0.0054156,12.2823,10,46,0.234375,FNS,4.65983,67.1123
179,rgb/1305031952.668899.png,rgb/1305031953.004869.png,0.0030073,19.605,10,71,0.359375,FNS,3.70545,82.1613
180,rgb/1305031952.836931.png,rgb/1305031953.172998.png,0.00422558,15.5408,10,29,0.28125,FNS,1.30777,17.0191
181,rgb/1305031953.004869.png,rgb/1305031953.337012.png,0.00359704,10.7639,10,124,0.421875,FNS,90.1813,117.726
182,rgb/1305031953.172998.png,rgb/1305031953.504919.png,0.00229331,8.81315,10,174,0.546875,FNS,4.78093,75.4473
183,rgb/1305031953.337012.png,rgb/1305031953.673021.png,0.00365105,4.99506,10,202,0.578125,FNS,2.07361,3.04128
184,rgb/1305031953.504919.png,rgb/1305031953.836840.png,0.00384237,9.68481,10,135,0.5,FNS,0.299656,6.76193
185,rgb/1305031953.673021.png,rgb/1305031954.004852.png,0.0039459,16.4469,10,56,0.40625,FNS,4.27498,87.8791
186,rgb/1305031953.836840.png,rgb/1305031954.172997.png,0.00445684,19.177,10,98,0.390625,FNS,4.1649,72.211
187,rgb/1305031954.004852.png,rgb/1305031954.336921.png,0.00970401,14.318,10,63,0.4375,FNS,5.47476,57.9302
188,rgb/1305031954.172997.png,rgb/1305031954.504827.png,0.0201764,9.33085,10,172,0.546875,FNS,2.09468,26.5128
189,rgb/1305031954.336921.png,rgb/1305031954.672891.png,0.0246171,8.38608,10,166,0.484375,FNS,4.75411,49.8738
190,rgb/1305031954.504827.png,rgb/1305031954.836924.png,0.0232702,5.74034,10,398,0.6875,FNS,90.5114,92.5165
191,rgb/1305031954.672891.png,rgb/1305031955.004936.png,0.0176642,4.24279,10,238,0.734375,FNS,0.823866,7.03042
192,rgb/1305031954.836924.png,rgb/1305031955.173003.png,0.00930585,5.84133,10,233,0.65625,FNS,0.808704,14.3657
193,rgb/1305031955.004936.png,rgb/1305031955.337035.png,0.0048047,5.36412,10,647,0.765625,FNS,4.01139,78.1463
194,rgb/1305031955.173003.png,rgb/1305031955.504893.png,0.00136338,4.60023,10,369,0.765625,FNS,1.84504,78.8413
195,rgb/1305031955.337035.png,rgb/1305031955.672837.png,7.897e-05,3.1287,10,817,0.875,FNS,0.404202,96.0726
196,rgb/1305031955.504893.png,rgb/1305031955.837019.png,2.282e-05,1.7266,10,1100,0.953125,FNS,0.252673,54.4956
197,rgb/1305031955.672837.png,rgb/1305031956.004870.png,8.889e-05,1.95979,10,1119,0.921875,FNS,0.210866,12.8928
