pair_index,image1,image2,t_gt_sq_magnitude,skipping_frame,method,rotation_error,translation_error
118,rgb/1305031942.503553.png,rgb/1305031942.669006.png,0.00246262,5,FNS,0.719475,24.8134
119,rgb/1305031942.669006.png,rgb/1305031942.841042.png,0.00280914,5,FNS,1.16296,36.8283
120,rgb/1305031942.841042.png,rgb/1305031943.001103.png,0.0019741,5,FNS,0.736408,74.1858
121,rgb/1305031943.001103.png,rgb/1305031943.171912.png,0.00287246,5,FNS,0.520826,12.1651
122,rgb/1305031943.171912.png,rgb/1305031943.339941.png,0.00565062,5,FNS,3.64691,95.1368
123,rgb/1305031943.339941.png,rgb/1305031943.501108.png,0.00550971,5,FNS,3.456,86.0394
124,rgb/1305031943.501108.png,rgb/1305031943.671504.png,0.00448555,5,FNS,0.355207,11.3939
125,rgb/1305031943.671504.png,rgb/1305031943.837754.png,0.00390426,5,FNS,0.45898,14.6023
126,rgb/1305031943.837754.png,rgb/1305031944.007760.png,0.00275844,5,FNS,1.05612,9.51902
127,rgb/1305031944.007760.png,rgb/1305031944.171370.png,0.00112505,5,FNS,2.36554,88.1521
128,rgb/1305031944.171370.png,rgb/1305031944.339308.png,0.00061526,5,FNS,1.1668,36.3796
129,rgb/1305031944.339308.png,rgb/1305031944.506947.png,0.00100769,5,FNS,179.941,51.8845
130,rgb/1305031944.506947.png,rgb/1305031944.671779.png,0.00114105,5,FNS,1.41737,54.7434
131,rgb/1305031944.671779.png,rgb/1305031944.839956.png,0.00101604,5,FNS,1.50558,79.7251
132,rgb/1305031944.839956.png,rgb/1305031945.007437.png,0.00097784,5,FNS,1.87415,96.1314
133,rgb/1305031945.007437.png,rgb/1305031945.168992.png,0.00123923,5,FNS,2.95089,130.857
134,rgb/1305031945.168992.png,rgb/1305031945.338940.png,0.00143009,5,FNS,0.549266,11.7963
135,rgb/1305031945.338940.png,rgb/1305031945.506438.png,0.00218261,5,FNS,2.30289,25.7503
136,rgb/1305031945.506438.png,rgb/1305031945.669116.png,0.00279296,5,FNS,1.29476,45.9994
137,rgb/1305031945.669116.png,rgb/1305031945.838266.png,0.00312669,5,FNS,1.11752,135.001
138,rgb/1305031945.838266.png,rgb/1305031946.005983.png,0.00343988,5,FNS,1.29399,83.176
139,rgb/1305031946.005983.png,rgb/1305031946.168867.png,0.00249986,5,FNS,3.52976,80.4662
140,rgb/1305031946.168867.png,rgb/1305031946.337036.png,0.00346196,5,FNS,2.78644,69.3424
141,rgb/1305031946.337036.png,rgb/1305031946.506586.png,0.00816491,5,FNS,0.359314,6.22279
142,rgb/1305031946.506586.png,rgb/1305031946.669089.png,0.00829115,5,FNS,0.495674,6.10846
143,rgb/1305031946.669089.png,rgb/1305031946.837100.png,0.00826644,5,FNS,3.38705,44.661
144,rgb/1305031946.837100.png,rgb/1305031947.006827.png,0.00630773,5,FNS,5.19601,86.5014
145,rgb/1305031947.006827.png,rgb/1305031947.169117.png,0.00364427,5,FNS,3.06742,109.066
146,rgb/1305031947.169117.png,rgb/1305031947.336945.png,0.00415289,5,FNS,1.34293,10.102
147,rgb/1305031947.336945.png,rgb/1305031947.504994.png,0.00674938,5,FNS,1.08878,18.8961
148,rgb/1305031947.504994.png,rgb/1305031947.669011.png,0.00794241,5,FNS,0.635551,10.3831
149,rgb/1305031947.669011.png,rgb/1305031947.837022.png,0.010139,5,FNS,2.84943,43.9494
150,rgb/1305031947.837022.png,rgb/1305031948.004911.png,0.00705506,5,FNS,0.680904,2.09572
151,rgb/1305031948.004911.png,rgb/1305031948.168952.png,0.00525874,5,FNS,3.78675,64.8108
152,rgb/1305031948.168952.png,rgb/1305031948.337101.png,0.00759973,5,FNS,1.13851,8.41728
153,rgb/1305031948.337101.png,rgb/1305031948.505024.png,0.0119518,5,FNS,0.711938,4.99605
154,rgb/1305031948.505024.png,rgb/1305031948.669040.png,0.0103112,5,FNS,0.680154,2.29264
155,rgb/1305031948.669040.png,rgb/1305031948.837073.png,0.0102858,5,FNS,1.49966,15.0279
156,rgb/1305031948.837073.png,rgb/1305031949.005006.png,0.00959045,5,FNS,2.18495,18.0265
157,rgb/1305031949.005006.png,rgb/1305031949.168946.png,0.00646898,5,FNS,5.03205,53.2939
158,rgb/1305031949.168946.png,rgb/1305031949.337227.png,0.00514842,5,FNS,2.05636,23.6651
159,rgb/1305031949.337227.png,rgb/1305031949.505002.png,0.00467049,5,FNS,89.887,92.9158
160,rgb/1305031949.505002.png,rgb/1305031949.668955.png,0.00357074,5,FNS,4.5909,93.1244
161,rgb/1305031949.668955.png,rgb/1305031949.836964.png,0.00362099,5,FNS,2.19465,27.1571
162,rgb/1305031949.836964.png,rgb/1305031950.004952.png,0.00353883,5,FNS,4.15595,59.4
163,rgb/1305031950.004952.png,rgb/1305031950.168914.png,0.00332037,5,FNS,1.43986,52.6053
164,rgb/1305031950.168914.png,rgb/1305031950.337197.png,0.00322969,5,FNS,2.43624,108.687
165,rgb/1305031950.337197.png,rgb/1305031950.504938.png,0.00166657,5,FNS,0.713831,36.7373
166,rgb/1305031950.504938.png,rgb/1305031950.668910.png,0.00069905,5,FNS,1.24713,129.124
167,rgb/1305031950.668910.png,rgb/1305031950.837135.png,0.00200144,5,FNS,0.286267,53.5683
168,rgb/1305031950.837135.png,rgb/1305031951.004836.png,0.0030209,5,FNS,1.50069,84.6289
169,rgb/1305031951.004836.png,rgb/1305031951.168908.png,0.0032628,5,FNS,178.675,84.8798
170,rgb/1305031951.168908.png,rgb/1305031951.336937.png,0.00604018,5,FNS,2.1541,41.6707
171,rgb/1305031951.336937.png,rgb/1305031951.504916.png,0.00897634,5,FNS,2.20631,28.7868
172,rgb/1305031951.504916.png,rgb/1305031951.668929.png,0.00862793,5,FNS,0.627918,6.79774
173,rgb/1305031951.668929.png,rgb/1305031951.836932.png,0.0102191,5,FNS,7.17314,90.9617
174,rgb/1305031951.836932.png,rgb/1305031952.004839.png,0.00903402,5,FNS,3.02059,8.4297
175,rgb/1305031952.004839.png,rgb/1305031952.168932.png,0.00503309,5,FNS,1.76504,7.08945
176,rgb/1305031952.168932.png,rgb/1305031952.336993.png,0.00412584,5,FNS,5.23455,94.1786
177,rgb/1305031952.336993.png,rgb/1305031952.504868.png,0.0044851,5,FNS,0.553929,6.54772
178,rgb/1305031952.504868.png,rgb/1305031952.668899.png,0.00217082,5,FNS,0.996768,18.6374
179,rgb/1305031952.668899.png,rgb/1305031952.836931.png,0.00075726,5,FNS,1.90723,62.3976
180,rgb/1305031952.836931.png,rgb/1305031953.004869.png,0.00086126,5,FNS,84.8992,99.267
181,rgb/1305031953.004869.png,rgb/1305031953.172998.png,0.00128834,5,FNS,1.62773,76.531
182,rgb/1305031953.172998.png,rgb/1305031953.337012.png,0.00063926,5,FNS,0.940187,77.8852
183,rgb/1305031953.337012.png,rgb/1305031953.504919.png,0.00090837,5,FNS,1.17578,42.2886
184,rgb/1305031953.504919.png,rgb/1305031953.673021.png,0.00107078,5,FNS,2.11168,65.1741
185,rgb/1305031953.673021.png,rgb/1305031953.836840.png,0.00097501,5,FNS,0.563951,23.3708
186,rgb/1305031953.836840.png,rgb/1305031954.004852.png,0.00100593,5,FNS,2.02494,44.5374
187,rgb/1305031954.004852.png,rgb/1305031954.172997.png,0.00134169,5,FNS,1.34466,59.9496
188,rgb/1305031954.172997.png,rgb/1305031954.336921.png,0.00390274,5,FNS,1.43044,38.5532
189,rgb/1305031954.336921.png,rgb/1305031954.504827.png,0.00645851,5,FNS,0.112169,2.39437
190,rgb/1305031954.504827.png,rgb/1305031954.672891.png,0.00589091,5,FNS,0.582683,4.73979
191,rgb/1305031954.672891.png,rgb/1305031954.836924.png,0.00583714,5,FNS,1.09711,14.3066
192,rgb/1305031954.836924.png,rgb/1305031955.004936.png,0.00321787,5,FNS,0.641458,19.55
193,rgb/1305031955.004936.png,rgb/1305031955.173003.png,0.0017265,5,FNS,0.727654,22.7639
194,rgb/1305031955.173003.png,rgb/1305031955.337035.png,0.00081944,5,FNS,0.388927,12.9654
195,rgb/1305031955.337035.png,rgb/1305031955.504893.png,7.174e-05,5,FNS,0.321971,44.7949
196,rgb/1305031955.504893.png,rgb/1305031955.672837.png,2.35e-06,5,FNS,0.319234,10.5216
197,rgb/1305031955.672837.png,rgb/1305031955.837019.png,1.641e-05,5,FNS,0.138448,96.6919
198,rgb/1305031955.837019.png,rgb/1305031956.004870.png,2.99e-05,5,FNS,0.597122,69.5545
